title,language,genre,avg_vote
Ek,Telugu,"Action, Drama",9.8
Jeeudo,"English, Nepali","Drama, Romance",9.8
Lejos de Casa pelicula Venezolana,Spanish,"Drama, History",9.8
Hopeful Notes,English,Drama,9.7
Isha,Malayalam,"Drama, Horror",9.5
Jibon Theke Neya,Bengali,"Drama, Family, War",9.4
The Best Years,English,"Comedy, Crime, Drama",9.4
As I Am,English,"Drama, Fantasy, Romance",9.3
Hababam Sinifi,Turkish,"Comedy, Drama",9.3
Le ali della libertÌÊ,English,Drama,9.3
Eghantham,Tamil,Drama,9.2
Fan,Kannada,Drama,9.2
Il padrino,"English, Italian, Latin","Crime, Drama",9.2
Maarjaara Oru Kalluvacha Nuna,Malayalam,Drama,9.2
Maya Bazaar,"Telugu, Tamil","Comedy, Drama, Family",9.2
National Theatre Live: The Lehman Trilogy,,Drama,9.2
Aguner Poroshmoni,Bengali,"Drama, War",9.1
Delaware Shore,English,Drama,9.1
Gini Helida Kathe,Kannada,Drama,9.1
Jelita Sejuba: Mencintai Kesatria Negara,Indonesian,"Drama, Romance",9.1
Natsamrat,Marathi,"Drama, Family",9.1
Vchera,Bulgarian,Drama,9.1
Zana,Albanian,"Drama, Mystery",9.1
Adutha Chodyam,Malayalam,Drama,9
Aloko Udapadi,"Sinhalese, Tamil","Drama, History",9
Breakout,English,"Adventure, Comedy, Drama",9
C/o Kancharapalem,Telugu,Drama,9
Ekvtime: Man of God,Georgian,"Biography, Drama, History",9
Il cavaliere oscuro,"English, Mandarin","Action, Crime, Drama",9
Il padrino - Parte II,"English, Italian, Spanish, Latin, Sicilian","Crime, Drama",9
Joshua,Malayalam,Drama,9
Maratonci trce pocasni krug,Serbian,"Comedy, Drama",9
National Theatre Live: Angels in America Part Two - Perestroika,English,Drama,9
Oggatonama,Bengali,Drama,9
Peranbu,Tamil,Drama,9
Sandesham,Malayalam,"Comedy, Drama",9
Balkanski spijun,Serbo-Croatian,"Comedy, Drama",8.9
Das letzte Mahl,German,"Drama, History",8.9
Gangter in Morteni,Romanian,Drama,8.9
Heerak Rajar Deshe,Bengali,"Comedy, Drama, Thriller",8.9
I moromete,Romanian,Drama,8.9
Il Signore degli Anelli - Il ritorno del re,"English, Quenya, Old English, Sindarin","Action, Adventure, Drama",8.9
Kireedam,Malayalam,"Action, Drama",8.9
Ko to tamo peva,Serbo-Croatian,"Adventure, Comedy, Drama",8.9
La parola ai giurati,English,"Crime, Drama",8.9
Le montagne blu,"Georgian, Russian","Comedy, Drama",8.9
Nagara Haavu,Kannada,"Drama, Musical",8.9
National Theatre Live: Angels in America Part One - Millennium Approaches,English,Drama,8.9
Pesvebi,"French, Georgian, Russian",Drama,8.9
Pulp Fiction,"English, Spanish, French","Crime, Drama",8.9
Requiem for a Fighter,English,Drama,8.9
Schindler's List,"English, Hebrew, German, Polish, Latin","Biography, Drama, History",8.9
Shindisi,"Georgian, Russian","Drama, History, War",8.9
The Crucible,English,Drama,8.9
All You Can Dream,English,"Comedy, Drama, Family",8.8
Apocalypse Will Not Happen,Georgian,Drama,8.8
Ardaas Karaan,Punjabi,Drama,8.8
Bangarada Manushya,Kannada,Drama,8.8
Daana Veera Soora Karna,Telugu,"Action, Drama, Fantasy",8.8
Dil Bechara,Hindi,"Comedy, Drama, Romance",8.8
Fight Club,English,Drama,8.8
Forrest Gump,English,"Drama, Romance",8.8
Gundamma Katha,Telugu,"Comedy, Drama",8.8
Il Signore degli Anelli - La compagnia dell'Anello,"English, Sindarin","Action, Adventure, Drama",8.8
Jhalki,Hindi,Drama,8.8
Les MisÌ©rables in Concert: The 25th Anniversary,English,"Drama, Music, Musical",8.8
Montagna II,Turkish,"Action, Drama, War",8.8
Mudda 370 J&K,Hindi,"Action, Drama",8.8
Ningen no jÌ«ken,"Japanese, Mandarin, Russian","Drama, History, War",8.8
NT Live: Cyrano de Bergerac,English,"Drama, Romance",8.8
Om,Kannada,"Action, Crime, Drama",8.8
Orkestar bez ime,"Bulgarian, Italian","Comedy, Drama, Music",8.8
Pengalila,Malayalam,Drama,8.8
Sagara Sangamam,Telugu,"Musical, Romance, Drama",8.8
The Phantom of the Opera at the Royal Albert Hall,English,"Drama, Music, Musical",8.8
Thevar Magan,Tamil,Drama,8.8
Upendra,Kannada,"Drama, Thriller",8.8
Wheels,English,Drama,8.8
A Man Called Ahok,Indonesian,"Biography, Drama",8.7
A tanÌ¼,Hungarian,"Drama, Comedy",8.7
A: Film by Upendra,Kannada,Drama,8.7
Anbe Sivam,Tamil,"Adventure, Comedy, Drama",8.7
Anno Domini 681,Bulgarian,"Drama, History, War",8.7
Asalu Em Jarigindhante,Telugu,Drama,8.7
Az Ì¦tÌ¦dik pecsÌ©t,Hungarian,"Drama, War",8.7
Canim Kardesim,Turkish,Drama,8.7
Chal Man Jeetva Jaiye,Gujarati,Drama,8.7
Devasuram,Malayalam,"Action, Drama, Thriller",8.7
Dr. Prakash Baba Amte: The Real Hero,Marathi,"Biography, Drama, History",8.7
Everybody's Talking About Jamie,English,"Drama, Musical",8.7
Godhi Banna Sadharana Mykattu,Kannada,"Drama, Thriller",8.7
Hababam Sinifi Tatilde,Turkish,"Adventure, Comedy, Drama",8.7
Hamilton,English,"Biography, Drama, History",8.7
Harakiri,Japanese,"Action, Drama, Mystery",8.7
Hellaro,Gujarati,Drama,8.7
Il Signore degli Anelli - Le due torri,"English, Sindarin, Old English","Action, Adventure, Drama",8.7
L'attore e i selvaggi,Romanian,"Comedy, Drama, Family",8.7
Lepa sela lepo gore,"Bosnian, Serbian, English","Comedy, Drama, History",8.7
Limuzins Janu nakts krasa,Latvian,"Comedy, Drama",8.7
National Theatre Live: A View from the Bridge,English,Drama,8.7
