title,language,genre,avg_vote
Jeeudo,"English, Nepali","Drama, Romance",9.8
As I Am,English,"Drama, Fantasy, Romance",9.3
Ninnu Thalachi,Telugu,"Comedy, Romance",9.3
Jelita Sejuba: Mencintai Kesatria Negara,Indonesian,"Drama, Romance",9.1
Dil Bechara,Hindi,"Comedy, Drama, Romance",8.8
Forrest Gump,English,"Drama, Romance",8.8
NT Live: Cyrano de Bergerac,English,"Drama, Romance",8.8
Sagara Sangamam,Telugu,"Musical, Romance, Drama",8.8
Tis kakomoiras,Greek,"Comedy, Romance",8.8
Kibar Feyzo,Turkish,"Comedy, Romance",8.7
Lajanje na zvezde,Serbian,"Comedy, Romance",8.7
Sankarabharanam,Telugu,"Drama, Musical, Romance",8.7
96,Tamil,"Drama, Romance",8.6
Godfather,Malayalam,"Comedy, Drama, Romance",8.6
Gol Maal,Hindi,"Comedy, Romance",8.6
ÌàÌ¦pÌ¤Ì?ler Krali,Turkish,"Comedy, Romance",8.6
Istoria mias kalpikis liras,Greek,"Comedy, Drama, Romance",8.6
Kumbalangi Nights,Malayalam,"Comedy, Drama, Romance",8.6
La vita Ì¬ bella,"Italian, German, English","Comedy, Drama, Romance",8.6
"Me, bebia, Iliko da Ilarioni","Georgian, Russian","Comedy, Romance",8.6
Moondram Pirai,Tamil,"Drama, Romance",8.6
Much Ado About Nothing,English,"Comedy, Romance",8.6
Operatsiya 'Y' i drugie priklyucheniya Shurika,Russian,"Comedy, Crime, Romance",8.6
Pushpaka Vimana,None,"Comedy, Romance",8.6
Selvi Boylum Al Yazmalim,Turkish,"Drama, Romance",8.6
Thoovanathumbikal,Malayalam,"Drama, Musical, Romance",8.6
Varljivo leto '68,Serbo-Croatian,"Comedy, Drama, Romance",8.6
Angrej,Punjabi,Romance,8.5
Casablanca,"English, French, German, Italian","Drama, Romance, War",8.5
ÌÐlsÌ?m... bagisla,"Azerbaijani, Russian","Drama, Romance",8.5
La meglio gioventÌ?,"Italian, English, Norwegian","Drama, Romance",8.5
Luci della cittÌÊ,English,"Comedy, Drama, Romance",8.5
Mouna Ragam,Tamil,"Drama, Romance",8.5
Mudras Calling,English,"Adventure, Drama, Romance",8.5
Pashupati Prasad,Nepali,"Drama, Romance",8.5
Preku ezeroto,"Macedonian, Albanian","Drama, Romance",8.5
Sete eterna,Hindi,"Drama, Musical, Romance",8.5
Srabon Megher Din,Bengali,"Drama, Romance",8.5
TÌ?hminÌ?,"Azerbaijani, Turkish, Russian","Drama, Romance",8.5
A Midsummer Night's Dream,English,"Comedy, Drama, Romance",8.4
