title,language,director,genre,avg_vote
Il cavaliere oscuro,"English, Mandarin",Christopher Nolan,"Action, Crime, Drama",9
Inception,"English, Japanese, French",Christopher Nolan,"Action, Adventure, Sci-Fi",8.8
Interstellar,English,Christopher Nolan,"Adventure, Drama, Sci-Fi",8.6
The Prestige,English,Christopher Nolan,"Drama, Mystery, Sci-Fi",8.5
Memento,English,Christopher Nolan,"Mystery, Thriller",8.4
Il cavaliere oscuro - Il ritorno,"English, Arabic",Christopher Nolan,"Action, Adventure",8.4
Batman Begins,"English, Mandarin",Christopher Nolan,"Action, Adventure",8.2
Dunkirk,"English, French, German",Christopher Nolan,"Action, Drama, History",7.9
Tenet,"English, Russian, Ukrainian, Estonian",Christopher Nolan,"Action, Sci-Fi",7.9
Following,English,Christopher Nolan,"Crime, Mystery, Thriller",7.5
Insomnia,English,Christopher Nolan,"Drama, Mystery, Thriller",7.2
