original_title,language,genre,avg_vote
Hopeful Notes,English,Drama,9.7
The Moving on Phase,English,Comedy,9.5
The Best Years,English,"Comedy, Crime, Drama",9.4
As I Am,English,"Drama, Fantasy, Romance",9.3
Moussaka & Chips,English,Adventure,9.3
Love in Kilnerry,English,Comedy,9.3
The Shawshank Redemption,English,Drama,9.3
The Transcendents,English,"Music, Mystery, Thriller",9.2
Delaware Shore,English,Drama,9.1
National Theatre Live: Angels in America Part Two - Perestroika,English,Drama,9
Breakout,English,"Adventure, Comedy, Drama",9
Ramayana: The Legend of Prince Rama,English,"Animation, Action, Adventure",9
Twelfth Night,English,Comedy,8.9
The Crucible,English,Drama,8.9
Aiyai: Wrathful Soul,English,"Horror, Mystery, Thriller",8.9
National Theatre Live: Angels in America Part One - Millennium Approaches,English,Drama,8.9
Requiem for a Fighter,English,Drama,8.9
12 Angry Men,English,"Crime, Drama",8.9
Winter's End,English,Thriller,8.9
Metallica & San Francisco Symphony - S&M2,English,Music,8.8
NT Live: Cyrano de Bergerac,English,"Drama, Romance",8.8
Graves End,English,"Thriller, Mystery",8.8
Jeff Lynne's ELO: Wembley or Bust,English,Music,8.8
Distant Sky - Nick Cave & The Bad Seeds Live in Copenhagen,English,Music,8.8
Dr. Babasaheb Ambedkar,English,"Biography, History",8.8
The Phantom of the Opera at the Royal Albert Hall,English,"Drama, Music, Musical",8.8
Wheels,English,Drama,8.8
All You Can Dream,English,"Comedy, Drama, Family",8.8
Les MisÌ©rables in Concert: The 25th Anniversary,English,"Drama, Music, Musical",8.8
Joe Finds Grace,English,"Animation, Adventure, Comedy",8.8
Fight Club,English,Drama,8.8
Forrest Gump,English,"Drama, Romance",8.8
The Matrix,English,"Action, Sci-Fi",8.7
Everybody's Talking About Jamie,English,"Drama, Musical",8.7
Mr. Plinkett's Indiana Jones and the Kingdom of the Crystal Skull Review,English,Comedy,8.7
Harry Styles: Behind the Album,English,Biography,8.7
Spies Are Forever,English,Musical,8.7
Hamilton,English,"Biography, Drama, History",8.7
National Theatre Live: A View from the Bridge,English,Drama,8.7
Stanley Stanton,English,Drama,8.7
These Words Must Be on Your Heart,English,Drama,8.7
Strive,English,Drama,8.7
Star Wars: Episode V - The Empire Strikes Back,English,"Action, Adventure, Fantasy",8.7
The Guy Who Didn't Like Musicals,English,"Comedy, Musical",8.7
National Theatre Live: Frankenstein,English,"Drama, Sci-Fi",8.7
One Flew Over the Cuckoo's Nest,English,Drama,8.7
Star Wars,English,"Action, Adventure, Fantasy",8.6
Se7en,English,"Crime, Drama, Mystery",8.6
George Takei's Allegiance,English,Musical,8.6
5th Borough,English,Crime,8.6
Ring of Silence,English,Drama,8.6
Much Ado About Nothing,English,"Comedy, Romance",8.6
National Theatre Live: King Lear,English,Drama,8.6
Interstellar,English,"Adventure, Drama, Sci-Fi",8.6
Doraleous and Associates,English,Animation,8.6
National Theatre Live: All My Sons,English,Drama,8.6
National Theatre Live: Small Island,English,Drama,8.6
New Heaven and New Earth,English,Musical,8.5
Mudras Calling,English,"Adventure, Drama, Romance",8.5
Joker,English,"Crime, Drama, Thriller",8.5
National Theatre Live: Follies,English,Musical,8.5
National Theatre Live: Hamlet,English,Drama,8.5
Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,English,Animation,8.5
Titanic Review,English,Comedy,8.5
The Colour of Darkness,English,Drama,8.5
Disney's Newsies: The Broadway Musical,English,Musical,8.5
Back to the Future,English,"Adventure, Comedy, Sci-Fi",8.5
Modern Times,English,"Comedy, Drama, Family",8.5
City Lights,English,"Comedy, Drama, Romance",8.5
Gladiator,English,"Action, Adventure, Drama",8.5
American History X,English,Drama,8.5
Lost Angelas,English,"Mystery, Thriller",8.5
Whiplash,English,"Drama, Music",8.5
National Theatre Live: The Audience,English,Drama,8.5
National Theatre Live: Skylight,English,Drama,8.5
National Theatre Live: Coriolanus,English,"Drama, History, War",8.5
Psycho,English,"Horror, Mystery, Thriller",8.5
Rush: Snakes & Arrows - Live in Holland,English,Music,8.5
The Prestige,English,"Drama, Mystery, Sci-Fi",8.5
WALLåáE,English,"Animation, Adventure, Family",8.4
Present Laughter,English,Comedy,8.4
A Midsummer Night's Dream,English,"Comedy, Drama, Romance",8.4
Billy Elliot the Musical Live,English,"Comedy, Drama, Music",8.4
Mr. Rudolpho's Jubilee,English,"Comedy, Music, Musical",8.4
The Tempest,English,"Comedy, Drama",8.4
The Shining,English,"Drama, Horror",8.4
The Bachelor Party,English,Comedy,8.4
Avengers: Infinity War,English,"Action, Adventure, Sci-Fi",8.4
Michael Jackson: Smooth Criminal (II),English,"Action, Crime, Fantasy",8.4
Pope,English,"Crime, Drama",8.4
Set Me Free: Vol. II,English,"Crime, Drama, Mystery",8.4
BROS. Last Call,English,Comedy,8.4
Set Me Free: Vol. I,English,"Crime, Drama, Mystery",8.4
National Theatre Live: Edward Albee's Who's Afraid of Virginia Woolf?,English,Drama,8.4
National Theatre Live: Amadeus,English,Musical,8.4
National Theatre Live: Man and Superman,English,"Comedy, Drama",8.4
Memento,English,"Mystery, Thriller",8.4
Alien,English,"Horror, Sci-Fi",8.4
Rear Window,English,"Mystery, Thriller",8.4
Sunset Blvd.,English,"Drama, Film-Noir",8.4
