original_title,language,genre,avg_vote
Maya Bazaar,"Telugu, Tamil","Comedy, Drama, Family",9.2
Eghantham,Tamil,Drama,9.2
Aloko Udapadi,"Sinhalese, Tamil","Drama, History",9
Peranbu,Tamil,Drama,9
Thevar Magan,Tamil,Drama,8.8
Anbe Sivam,Tamil,"Adventure, Comedy, Drama",8.7
Ratsasan,Tamil,"Action, Crime, Thriller",8.7
Vikram Vedha,Tamil,"Action, Crime, Thriller",8.6
Aaranya Kaandam,Tamil,"Action, Crime, Thriller",8.6
KD,Tamil,Drama,8.6
Nayakan,Tamil,"Crime, Drama",8.6
Moondram Pirai,Tamil,"Drama, Romance",8.6
96,Tamil,"Drama, Romance",8.6
Thillu Mullu,Tamil,Comedy,8.6
Oththa Seruppu Size 7,Tamil,Drama,8.6
Pathala Bhairavi,"Tamil, Telugu","Action, Adventure, Family",8.5
Asuran,Tamil,"Action, Drama",8.5
Mouna Ragam,Tamil,"Drama, Romance",8.5
Aruvi,Tamil,Drama,8.5
Thalapathi,Tamil,"Action, Crime, Drama",8.5
Vada Chennai,Tamil,"Action, Crime",8.5
Iruvar,Tamil,"Biography, Drama",8.5
Pudhu Pettai,Tamil,"Action, Crime, Drama",8.5
Visaaranai,Tamil,"Crime, Drama, Thriller",8.5
Kuruthipunal,"Tamil, Telugu","Action, Drama, Thriller",8.5
Mahanadhi,Tamil,"Crime, Drama",8.5
Michael Madana Kama Rajan,Tamil,"Comedy, Musical",8.5
Mahanati,"Telugu, Tamil","Biography, Drama",8.5
Merku Thodarchi Malai,Tamil,Drama,8.5
Kaithi,Tamil,"Action, Thriller",8.5
Thani Oruvan,Tamil,"Action, Crime, Thriller",8.4
Pithamagan,Tamil,"Action, Drama",8.4
Kaakkaa Muttai,Tamil,"Comedy, Drama",8.4
Joker,Tamil,"Comedy, Drama",8.4
Super Deluxe,Tamil,"Action, Comedy, Crime",8.4
Papanasam,Tamil,"Drama, Thriller",8.4
Kattradhu Thamizh,Tamil,"Drama, Mystery",8.4
Thanha Rathi Ranga,"Sinhalese, Tamil",Drama,8.4
Mullum Malarum,Tamil,Drama,8.3
Vazhakku Enn 18/9,Tamil,"Crime, Drama, Thriller",8.3
Swathi Muthyam,"Telugu, Tamil, English","Drama, Family, Romance",8.3
