title,language,director,genre,avg_vote
Inception,"English, Japanese, French",Christopher Nolan,"Action, Adventure, Sci-Fi",8.8
The Departed - Il bene e il male,"English, Cantonese",Martin Scorsese,"Crime, Drama, Thriller",8.5
Django Unchained,"English, German, French, Italian",Quentin Tarantino,"Drama, Western",8.4
The Wolf of Wall Street,"English, French",Martin Scorsese,"Biography, Crime, Drama",8.2
Shutter Island,"English, German",Martin Scorsese,"Mystery, Thriller",8.2
Prova a prendermi,"English, French",Steven Spielberg,"Biography, Crime, Drama",8.1
Blood Diamond - Diamanti di sangue,"English, Mende, Afrikaans",Edward Zwick,"Adventure, Drama, Thriller",8
Revenant - Redivivo,"English, Pawnee, French",Alejandro G. IÌ±ÌÁrritu,"Action, Adventure, Drama",8
Buon compleanno Mr. Grape,English,Lasse HallstrÌ¦m,Drama,7.8
Titanic,"English, Swedish, Italian, French",James Cameron,"Drama, Romance",7.8
C'era una volta a... Hollywood,"English, Italian, Spanish, German",Quentin Tarantino,"Comedy, Drama",7.6
Gangs of New York,"English, Irish, Chinese, Latin",Martin Scorsese,"Crime, Drama",7.5
The Aviator,English,Martin Scorsese,"Biography, Drama",7.5
Voglia di ricominciare,English,Michael Caton-Jones,"Biography, Drama",7.3
Ritorno dal nulla,English,Scott Kalvert,"Biography, Crime, Drama",7.3
Revolutionary Road,English,Sam Mendes,"Drama, Romance",7.3
Il grande Gatsby,English,Baz Luhrmann,"Drama, Romance",7.2
Nessuna veritÌÊ,"English, Arabic",Ridley Scott,"Action, Drama, Thriller",7.1
La stanza di Marvin,English,Jerry Zaks,Drama,6.7
Romeo + Giulietta di William Shakespeare,English,Baz Luhrmann,"Drama, Romance",6.7
The Beach,"English, French, Swedish, Thai, Serbian",Danny Boyle,"Adventure, Drama, Romance",6.7
Poeti dall'inferno,English,Agnieszka Holland,"Biography, Drama, Romance",6.6
La maschera di ferro,"English, Italian",Randall Wallace,"Action, Adventure, Drama",6.5
J. Edgar,English,Clint Eastwood,"Biography, Drama, Romance",6.5
Pronti a morire,"English, Spanish",Sam Raimi,"Action, Romance, Thriller",6.4
Don's Plum,English,R.D. Robb,"Comedy, Drama",5.8
La mia peggiore amica,English,Katt Shea,"Drama, Thriller",5.4
Critters 3,English,Kristine Peterson,"Comedy, Horror, Sci-Fi",4.4
