title,language,genre,avg_vote,description
Casino Royale,"English, Serbian, German, Italian, French","Action, Adventure, Thriller",8,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Agente 007 - Missione Goldfinger,"English, Chinese, Spanish","Action, Adventure, Thriller",7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
Skyfall,"English, Turkish, Shanghainese, Portuguese, Japanese","Action, Adventure, Thriller",7.7,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
"A 007, dalla Russia con amore","English, Russian, Turkish, Romany","Action, Adventure, Thriller",7.4,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.
GoldenEye,"English, Russian, Spanish","Action, Adventure, Thriller",7.2,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
La spia che mi amava,"English, Italian, Arabic","Action, Adventure, Thriller",7.1,"James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. Agent, whose lover he killed."
Agente 007 - Thunderball: operazione tuono,"English, French","Action, Adventure, Thriller",7,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.
Agente 007 - Si vive solo due volte,"English, Japanese, Russian","Action, Adventure, Thriller",6.9,"Secret Agent James Bond and the Japanese Secret Service must find and stop the true culprit of a series of space hijackings, before war is provoked between Russia and the United States."
Agente 007 - L'uomo dalla pistola d'oro,"English, Thai, Cantonese","Action, Adventure, Thriller",6.8,"James Bond is targeted by the world's most expensive assassin, while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder."
Agente 007 - Vivi e lascia morire,"English, Hungarian","Action, Adventure, Thriller",6.8,James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.
Jui gaai paak dong,Cantonese,"Action, Adventure, Comedy",6.8,"A ""James Bond"" type burglar named King Kong (Sam Hui) tries to redeem himself and joins forces with Albert ""Baldy"" Au (Karl Maka), a bumbling police detective from the states, to try to ..."
Solo per i tuoi occhi,"English, Greek, Italian","Action, Adventure, Thriller",6.8,"James Bond is assigned to find a missing British vessel, equipped with a weapons encryption device and prevent it from falling into enemy hands."
Spectre,"English, Spanish, Italian, German, French","Action, Adventure, Thriller",6.8,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
007 - Zona pericolo,"English, Arabic, French, German, Russian, Czech, Slovak, Dari, Pushto","Action, Adventure, Thriller",6.7,James Bond is sent to investigate a KGB policy to kill all enemy spies and uncovers an arms deal that potentially has major global ramifications.
Agente 007 - Al servizio segreto di Sua MaestÌÊ,"English, German, French","Action, Adventure, Thriller",6.7,James Bond woos a mob boss' daughter and goes undercover to uncover the true reason for Ernst Stavro Blofeld's allergy research in the Swiss Alps involving beautiful women from around the world.
007 - Vendetta privata,"English, Spanish","Action, Adventure, Thriller",6.6,"After capturing a drug lord, Felix Leiter is left for dead and his wife is murdered. James Bond goes rogue and seeks vengeance on those responsible, as he infiltrates an organisation posing as a hitman."
Agente 007 - Una cascata di diamanti,"English, German","Action, Adventure, Thriller",6.6,"A diamond smuggling investigation leads James Bond to Las Vegas, where he uncovers an evil plot involving a rich business tycoon."
Octopussy - Operazione piovra,"English, Russian, German, Spanish, Hindi","Action, Adventure, Thriller",6.6,"A fake FabergÌ© egg, and a fellow Agent's death, lead James Bond to uncover an international jewel-smuggling operation, headed by the mysterious Octopussy, being used to disguise a nuclear attack on N.A.T.O. forces."
Quantum of Solace,"English, Spanish, Italian, French, Swiss German, German","Action, Adventure, Thriller",6.6,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.
De forbandede Ì´r,Danish,"Drama, War",6.5,"Denmark, April 9th, 1940. Danish industrialist (portrayed by Jesper Christensen of James Bond fame) , cooperates and profits from the German occupation of Denmark. While his family finds themselves on opposite sides of the conflict."
Il domani non muore mai,"English, German, Danish, Mandarin, Cantonese","Action, Adventure, Thriller",6.5,James Bond sets out to stop a media mogul's plan to induce war between China and the U.K in order to obtain exclusive global media coverage.
007 - Bersaglio mobile,"English, French","Action, Adventure, Thriller",6.4,"The recovery of a microchip off the body of a fellow agent, leads James Bond to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley."
Il mondo non basta,"English, Russian, Spanish","Action, Adventure, Thriller",6.4,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain."
Moonraker - Operazione spazio,"English, Italian, Portuguese","Action, Adventure, Sci-Fi",6.3,"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide."
Mai dire mai,"English, French, Spanish, Arabic","Action, Adventure, Thriller",6.2,"A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated."
La morte puÌ? attendere,"English, Korean, Cantonese, Spanish, German, Icelandic, Italian, Arabic","Action, Adventure, Thriller",6.1,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon."
Ora zero: operazione oro,English,"Action, Adventure, Crime",6,"In a vein similar to the James Bond movies, British Agent Philip Calvert (Sir Anthony Hopkins) is on a mission to determine the whereabouts of a ship that disappeared near the coast of Scotland."
Zui jia pai dang 3: Nu huang mi ling,"Cantonese, English","Action, Comedy",5.9,A master thief is duped by lookalikes for James Bond and the Queen of England into stealing a valuable gem from a heavily guarded location then must help the police recover it.
Samantha Fox missione Manila,English,"Action, Drama, Thriller",5.8,Sexy adventure film has international hit lady Caffaro involved in James Bondish escapades in Manila.
Commandos in azione,English,Drama,5.5,A James Bond-type action hero is assigned to destroy a weapons factory run by a fugitive Nazi.
James Bond 007 - Casino Royale,"English, French, Scottish Gaelic, German, Japanese",Comedy,5.2,"In an early spy spoof, aging Sir James Bond comes out of retirement to take on SMERSH."
