title,language,director,genre,avg_vote
Pulp Fiction,"English, Spanish, French",Quentin Tarantino,"Crime, Drama",8.9
Kill Bill: The Whole Bloody Affair,,Quentin Tarantino,"Action, Crime, Thriller",8.8
Django Unchained,"English, German, French, Italian",Quentin Tarantino,"Drama, Western",8.4
Le iene,English,Quentin Tarantino,"Crime, Drama, Thriller",8.3
Bastardi senza gloria,"English, German, French, Italian",Quentin Tarantino,"Adventure, Drama, War",8.3
Kill Bill - Volume 1,"English, Japanese, French",Quentin Tarantino,"Action, Crime, Thriller",8.1
Kill Bill - Volume 2,"English, Cantonese, Mandarin, Spanish",Quentin Tarantino,"Action, Crime, Thriller",8
Sin City,English,"Frank Miller, Quentin Tarantino","Crime, Thriller",8
The Hateful Eight,"English, Spanish, French",Quentin Tarantino,"Crime, Drama, Mystery",7.8
C'era una volta a... Hollywood,"English, Italian, Spanish, German",Quentin Tarantino,"Comedy, Drama",7.6
Jackie Brown,English,Quentin Tarantino,"Crime, Drama, Thriller",7.5
Grindhouse - A prova di morte,English,Quentin Tarantino,"Action, Adventure, Thriller",7
My Best Friend's Birthday,English,Quentin Tarantino,Comedy,5.6
