genre,top1000_voters_rating
"Film-Noir, Mystery",8.1
"Drama, Sci-Fi",8
"Drama, War, Action",7.9
"Animation, Family, Fantasy",7.8
"Action, Crime, Thriller",7.8
"Adventure, History, Mystery",7.8
"Drama, History, Thriller",7.7
"Adventure, Comedy, Film-Noir",7.7
"Animation, Comedy, Family",7.7
"Action, Comedy, Thriller",7.7
"Adventure, Biography, Drama",7.6
"Action, Crime, Sci-Fi",7.6
"Horror, Sci-Fi",7.5
"Crime, Film-Noir, Sport",7.5
"Drama, Music",7.5
"Fantasy, Horror, Mystery",7.5
"Comedy, Musical, War",7.5
"Drama, Mystery, Western",7.5
"Drama, Sci-Fi, Thriller",7.4
"Adventure, Drama, Sci-Fi",7.4
"Film-Noir, Mystery, Romance",7.4
"Comedy, Music, Musical",7.4
"Drama, Thriller, Western",7.4
"Adventure, Drama, Family",7.3
"Fantasy, Drama, Romance",7.3
"Drama, Horror, War",7.3
"Animation, Drama, Family",7.3
"Drama, Horror, Romance",7.3
"Comedy, Romance, Thriller",7.3
"Drama, Horror, Mystery",7.2
"Fantasy, Horror, Thriller",7.2
"Drama, Romance, Thriller",7.2
"Fantasy, Music, Romance",7.2
"Drama, Family, History",7.2
"Crime, Drama, Film-Noir",7.2
"Animation, Adventure, Comedy",7.2
"Drama, Romance, Adventure",7.1
"Action, Crime, Fantasy",7.1
"Drama, Mystery",7.1
"Action, Sci-Fi, Thriller",7.1
"Comedy, History, Musical",7.1
"Horror, Romance, Sci-Fi",7.1
"Adventure, Comedy, War",7.1
"Animation, Sci-Fi, War",7.1
"War, Drama",7
"Comedy, Horror, Thriller",7
"Fantasy, Adventure, Family",7
"Crime, Western",7
"Drama, Film-Noir, Romance",7
"Animation, Action, Adventure",7
"Romance, Thriller, Western",7
"Adventure, Crime",7
"Action, Comedy, Family",7
"Adventure, Crime, Horror",7
"Musical, Adventure, Drama",7
"Drama, Fantasy, Romance",7
Sci-Fi,7
"Drama, Horror, Western",7
"Film-Noir, Thriller",7
"Animation, Drama, Sport",7
"Romance, Sport",7
"Animation, Adventure, Family",7
"Comedy, Family, Romance",6.9
"Drama, Fantasy, Film-Noir",6.9
"Adventure, Drama, Fantasy",6.9
"Adventure, Drama, History",6.9
"War, Drama, Romance",6.9
"Comedy, History, Romance",6.9
"Adventure, Crime, Film-Noir",6.9
"Drama, Film-Noir, Mystery",6.9
"Drama, War, Comedy",6.9
"Action, Adventure, Thriller",6.9
"Adventure, Comedy, Fantasy",6.9
"Action, Crime, Film-Noir",6.9
"Musical, Comedy",6.9
"Drama, Horror, Sci-Fi",6.9
"Fantasy, Horror",6.9
"Drama, War, Western",6.9
"Crime, History, Thriller",6.9
"Animation, Romance",6.9
"Crime, Drama",6.8
"Animation, Action, Sci-Fi",6.8
"Adventure, Western, Romance",6.8
"Animation, Sci-Fi",6.8
"Action, Adventure, Crime",6.8
"Action, Drama, War",6.8
"Action, Adventure, Romance",6.8
"Animation, Action",6.8
"Comedy, War",6.8
"Comedy, Adventure, Fantasy",6.8
Fantasy,6.8
"Animation, Biography, Crime",6.8
"Drama, Music, Sport",6.8
"Comedy, Mystery, Drama",6.8
"Crime, Thriller, Mystery",6.8
"Thriller, Horror, Mystery",6.8
"Drama, Fantasy, Thriller",6.8
"Film-Noir, Mystery, Thriller",6.8
"Drama, Family",6.8
"Adventure, Comedy, Family",6.8
