imdb_title_id,title,language,genre,director,top1000_voters_rating
tt8080648,Ring of Silence,English,Drama,Nicole Bowers Wallace,10
tt5664196,Nocturnal,English,Drama,Nathalie Biancheri,10
tt6175402,Feedback,English,"Comedy, Drama, Thriller",Derek Owen,10
tt3889450,American Sharia,English,"Comedy, Drama",Omar Regan,10
tt10012964,IRIS: A Space Opera by Justice,English,Music,AndrÌ© Chemetoff,10
tt0330695,Never Among Friends,English,"Comedy, Drama, Romance",Jason Allentoff,10
tt0300115,Leela,English,"Drama, Romance",Somnath Sen,9
tt3312838,Looking for Lions,English,"Crime, Drama, Thriller",Bradley W. Ragland,9
tt3958748,RiffTrax Live: Godzilla,English,Comedy,,9
tt2196746,C.O.O.L.I.O Time Travel Gangster,English,"Action, Sci-Fi",Paul J. Lane,9
tt9509866,The Guy Who Didn't Like Musicals,English,"Comedy, Musical",Nick Lang,9
tt10160742,NT Live: Cyrano de Bergerac,English,"Drama, Romance",Jamie Lloyd,9
tt11164090,The Moving on Phase,English,Comedy,Don Tjernagel,9
tt0111161,Le ali della libertÌÊ,English,Drama,Frank Darabont,8.9
tt0376633,Guy in Row Five,English,Comedy,"Jonathon E. Stewart, Phil Thurman",8.8
tt8832158,Poeta,English,"Comedy, Drama, Romance",Jeral Clyde II,8.7
tt1980218,Putzel,English,"Comedy, Drama, Romance",Jason Chaet,8.6
tt0080684,L'Impero colpisce ancora,English,"Action, Adventure, Fantasy",Irvin Kershner,8.6
tt3311146,National Theatre Live: This House,English,"Comedy, Drama","Jeremy Herrin, Tim Van Someren",8.6
tt5226844,Branagh Theatre Live: The Winter's Tale,English,Drama,"Rob Ashford, Kenneth Branagh",8.6
tt5094390,National Theatre Live: Man and Superman,English,"Comedy, Drama",Simon Godwin,8.5
tt9179096,Minamata,English,Drama,Andrew Levitas,8.5
tt0088763,Ritorno al futuro,English,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,8.5
tt10449460,Romang,English,"Drama, Romance",Chang-Geun Lee,8.5
tt0114369,Seven,English,"Crime, Drama, Mystery",David Fincher,8.5
tt1609481,Blue Collar Boys,English,Action,Mark Nistico,8.5
tt0081505,Shining,English,"Drama, Horror",Stanley Kubrick,8.4
tt3958790,RiffTrax Live: Anaconda,English,Comedy,,8.4
tt4746216,Pope,English,"Crime, Drama",Dwight White,8.4
tt5371266,Callback,English,"Drama, Thriller",Carles Torras,8.4
tt6847810,National Theatre Live: Angels in America Part Two - Perestroika,English,Drama,Marianne Elliott,8.4
tt7122350,National Theatre Live: Follies,English,Musical,Tim Van Someren,8.4
tt0133093,Matrix,English,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski",8.4
tt0137523,Fight Club,English,Drama,David Fincher,8.3
tt3352168,Z-Listers,English,"Comedy, Drama",Kris Smith,8.3
tt0105695,Gli spietati,English,"Drama, Western",Clint Eastwood,8.3
