title,language,genre,allgenders_30age_avg_vote
Bonzo Goes to College,English,Comedy,10
Shut Up and Deal,English,Comedy,10
Tenussian Vacuvasco,English,Drama,10
Venussian Tabutasco,English,Mystery,10
Padmavyuhathile Abhimanyu,Malayalam,Drama,10
Digbhayam,Kannada,Thriller,10
Padmavyuham,Telugu,Action,10
Edadugula Bandham,Telugu,Drama,10
Poeta,English,"Comedy, Drama, Romance",10
The Pigeon Egg Strategy,English,Comedy,10
Adhirindhi Alludu,Telugu,Drama,10
Jeeudo,"English, Nepali","Drama, Romance",10
The Silent e,English,"Animation, Adventure, Family",9.9
The Violent Kind,English,"Drama, Adventure, Action",9.8
Breakout,English,"Adventure, Comedy, Drama",9.8
The WormKillers' Last Spring,English,"Drama, Sport",9.8
Sari Zeybek,Turkish,Adventure,9.7
The Bachelor Party,English,Comedy,9.7
Set Me Free: Vol. I,English,"Crime, Drama, Mystery",9.6
"Have Love, Will Travel",English,Drama,9.5
Shelter in the Storm,English,"Drama, Family",9.5
Paging Emma,English,Drama,9.5
The Belly of the Beast,English,Horror,9.5
Kirket,Hindi,"Drama, Sport",9.5
Guys Reading Poems,English,"Drama, Mystery",9.4
Set Me Free: Vol. II,English,"Crime, Drama, Mystery",9.4
Why We Had to Kill Bitch,English,"Comedy, Romance",9.4
Pallati 176,Albanian,Comedy,9.4
"Child, Come Back Home",,"Drama, Family",9.3
Secret of Slenderman 3,Russian,"Horror, Mystery, Thriller",9.3
Carnaval fi Dachra,Arabic,Comedy,9.3
Hababam Sinifi,Turkish,"Comedy, Drama",9.3
Jibon Theke Neya,Bengali,"Drama, Family, War",9.3
The Schedule,English,Fantasy,9.3
Vidas Em Paralelo,Portuguese,"Comedy, Crime, Drama",9.3
The Moving on Phase,English,Comedy,9.3
Le ali della libertÌÊ,English,Drama,9.3
Tomorrow's End,English,"Comedy, Drama",9.3
Preku ezeroto,"Macedonian, Albanian","Drama, Romance",9.2
3rd Class,Kannada,Action,9.2
Warmth,Chinese,Drama,9.2
Lulekuqet mbi mure,Albanian,Drama,9.2
Dream,"English, Telugu","Action, Crime, Mystery",9.2
I ribelli dell'isola,English,Adventure,9.2
Mortem,"Russian, English","Drama, Horror, Thriller",9.2
National Theatre Live: The Lehman Trilogy,,Drama,9.2
Welcome Says the Angel,English,Drama,9.2
Chaos,"English, Russian","Drama, Fantasy",9.2
Hello Memsaheb,Bengali,"Comedy, Drama, Romance",9.2
I'm Still Here,English,"Drama, Romance, Thriller",9.2
Il padrino,"English, Italian, Latin","Crime, Drama",9.2
The Crucible,English,Drama,9.1
Metron,Russian,"Action, Adventure, Comedy",9.1
Vchera,Bulgarian,Drama,9.1
Twelfth Night,English,Comedy,9.1
The Hidden Persuaders,English,"Drama, Mystery",9.1
Z-Listers,English,"Comedy, Drama",9.1
Love in Kilnerry,English,Comedy,9.1
Maya Bazaar,"Telugu, Tamil","Comedy, Drama, Family",9.1
The Secret Princess,English,Animation,9.1
Don: Plain & Tall,English,Comedy,9.1
Fairway to Heaven,English,"Comedy, Sport",9
Flashback,"Italian, German","Drama, War",9
I moromete,Romanian,Drama,9
Iga-no Kabamaru,Japanese,Comedy,9
Doraleous and Associates,English,Animation,9
Voynata na taralezhite,Bulgarian,Comedy,9
Il padrino - Parte II,"English, Italian, Spanish, Latin, Sicilian","Crime, Drama",9
Death files,"Russian, English","Fantasy, Horror, Thriller",9
Anno Domini 681,Bulgarian,"Drama, History, War",9
Aguner Poroshmoni,Bengali,"Drama, War",9
Opasen char,Bulgarian,"Comedy, Thriller",9
SÌ?t Kardesler,Turkish,"Comedy, Family, Mystery",9
Tosun Pasa,Turkish,"Comedy, History",9
Il cavaliere oscuro,"English, Mandarin","Action, Crime, Drama",9
Hababam Sinifi Sinifta Kaldi,Turkish,Comedy,9
Copper Bill,English,Thriller,9
Sherekilebi,"Georgian, Russian","Comedy, Musical",9
Taralezhite se razhdat bez bodli,Bulgarian,"Comedy, Family",8.9
State of Wonder,English,Drama,8.9
Sri Bharatha Baahubali,Kannada,Comedy,8.9
"My Friend, Tucker",English,"Comedy, Drama",8.9
Orkestar bez ime,"Bulgarian, Italian","Comedy, Drama, Music",8.9
Almost Human,English,"Drama, Romance",8.9
Nagara Haavu,Kannada,"Drama, Musical",8.9
Vikend na mrtovci,Macedonian,"Comedy, Drama",8.9
Tetoviranje,Macedonian,Drama,8.9
Rush: Snakes & Arrows - Live in Holland,English,Music,8.9
Maratonci trce pocasni krug,Serbian,"Comedy, Drama",8.9
Sandesham,Malayalam,"Comedy, Drama",8.9
Glory Days,,"Action, Drama, Family",8.9
La parola ai giurati,English,"Crime, Drama",8.9
Sable,English,"Crime, Drama, Mystery",8.9
Pesvebi,"French, Georgian, Russian",Drama,8.9
Balkanski spijun,Serbo-Croatian,"Comedy, Drama",8.9
Love Immortal,,Horror,8.9
Ashi Hi Banwa Banwi,Marathi,Comedy,8.9
Schindler's List,"English, Hebrew, German, Polish, Latin","Biography, Drama, History",8.9
Pulp Fiction,"English, Spanish, French","Crime, Drama",8.9
Aha Naa Pellanta,Telugu,Comedy,8.9
