title,language,genre,allgenders_18age_avg_vote
Kasbah,Spanish,"Drama, Thriller",10
Dinner and Driving,English,"Comedy, Romance",10
Nemici giurati,English,"Action, Drama, Thriller",10
La parata dell'impossibile,English,"Fantasy, Musical",10
Making Waves,English,Comedy,10
Helden in Tirol,German,Comedy,10
"S.H.E. - La volpe, il lupo, l'oca selvaggia",English,"Action, Adventure",10
Boys Life 3,"English, French","Drama, Romance",10
The Man in the Road,English,"Crime, Thriller",10
El cielito,Spanish,Drama,10
The Man Who Wouldn't Talk,English,"Crime, Drama",10
Malicious Intent,English,"Crime, Drama, Thriller",10
Buried on Sunday,English,"Comedy, Drama",10
Le journal du sÌ©ducteur,French,"Comedy, Crime, Drama",10
Patrizia,"French, German","Comedy, Mystery",10
Deux vies... plus une,French,"Comedy, Romance",10
Stay Until Tomorrow,English,"Comedy, Drama, Romance",10
Calling Paul Temple,English,"Crime, Mystery",10
Never Met Picasso,English,"Comedy, Drama, Romance",10
Process,"French, English",Drama,10
Oro,English,"Adventure, Crime, Drama",10
Ti voglio bene Eugenio,Italian,Drama,10
Furia del Congo,English,"Action, Adventure, Crime",10
Hold That Hypnotist,English,Comedy,10
Reflejos,Spanish,"Crime, Thriller",10
Mutual Needs,English,"Drama, Thriller",10
Leave It to Blondie,English,Comedy,10
Shut Up and Deal,English,Comedy,10
The Red Rooster,English,Drama,10
Aaron's House,English,Horror,10
Crazy Over Horses,English,"Action, Comedy, Sport",10
The Voice of Merrill,English,Mystery,10
Winding Roads,English,Drama,10
L'uomo che vide il suo cadavere,"English, French","Crime, Drama, Thriller",10
Blondie's Holiday,English,Comedy,10
Gangter in Morteni,Romanian,Drama,10
Bonne annÌ©e,English,Drama,10
Il mistero della tartaruga bianca,English,"Adventure, Drama, Family",10
Serena,English,"Crime, Drama, Mystery",10
Allegri esploratori,English,Comedy,10
En face,French,Thriller,10
Il cavallino d'oro,English,Musical,10
Trouble Makers,English,"Comedy, Crime, Drama",10
El Desquite,Spanish,Drama,10
Shooting Vegetarians,English,"Comedy, Drama",10
Altra bandiera,English,"Drama, War",10
Far East,English,Drama,10
River Beat,English,"Crime, Drama",10
The Third Testament: The Antichrist and the Harlot,English,Action,10
La valle dei bruti,English,Western,10
Feedback,English,"Comedy, Drama, Thriller",10
Die Frau die an Dr. Fabian zweifelte,German,"Comedy, Crime, Drama",10
Il primo uomo sulla Luna,English,"Comedy, Romance",10
Cruzando,English,"Adventure, Comedy, Drama",10
Una casa en las afueras,Spanish,"Drama, Thriller",10
Sex Files: Ancient Desires,English,"Fantasy, Romance",10
Femme Fontaine: Killer Babe for the C.I.A.,English,"Action, Comedy",10
Blondie for Victory,English,"Comedy, War",10
The Fate - La mano del destino,English,"Drama, Thriller",10
Narco Valley,English,"Action, Crime, Drama",10
L'ultimo dei comanches,English,Western,10
Blondie's Big Deal,English,Comedy,10
Jack il bucaniere,English,"Adventure, Western",10
Joshua,Malayalam,Drama,10
The Hard Road,English,Drama,10
The Marauders,English,"Action, Adventure, Mystery",10
Ero una spia americana,"English, Spanish, Tagalog, Japanese, Italian","Biography, Drama, War",10
Clash by Night,English,"Crime, Drama",10
Billy's Holiday,English,Musical,10
My Blue Heaven,,Drama,10
Bull,English,"Comedy, Drama, Mystery",10
La vie de Michel Muller est plus belle que la vÌ«tre,French,Comedy,10
Vive les femmes!,French,Comedy,10
El amor del capitÌÁn Brando,Spanish,Drama,10
Blondie's Anniversary,English,Comedy,10
Ricordi perduti,French,Drama,10
Automne,"French, English","Crime, Drama",10
El aÌ±o del diluvio,Spanish,Drama,10
Le parole di mio padre,Italian,Drama,10
Blondie's Blessed Event,English,Comedy,10
Perils of Nyoka,English,Action,10
The House of the Arrow,English,Mystery,10
Private Snuffy Smith,English,"Comedy, Romance, War",10
La signora delle undici,French,"Mystery, Thriller",10
Evil Altar,English,Horror,10
Sally e i parenti picchiatelli,English,Comedy,10
Pistole puntate,English,"Action, Romance, Western",10
Sentenza che scotta,English,"Crime, Mystery, Thriller",10
Nasty Neighbours,English,Comedy,10
"Comfort the Disturbed, Disturb the Comforted",English,Drama,10
In Fast Company,English,"Action, Adventure, Comedy",10
Family Games,English,"Comedy, Drama",10
The Four Corners of Nowhere,English,Comedy,10
Schiavi della paura,English,"Romance, Western",10
Forte T,English,"Adventure, War, Western",10
Dick Barton Strikes Back,English,"Action, Crime, Sci-Fi",10
Il marchio del cobra,English,"Crime, Drama",10
Final Appointment,English,Drama,10
Tata mÌ?a,Spanish,Drama,10
Adutha Chodyam,Malayalam,Drama,10
