title,language,genre,females_allages_avg_vote
Rum,Tamil,Horror,10
Miga Miga Avasaram,Tamil,Drama,10
Devarattam,Tamil,"Action, Drama",10
Semma Botha Aagatha,Tamil,"Action, Thriller",10
Eghantham,Tamil,Drama,9.9
Manusangada,Tamil,Drama,9.7
Venpa,Tamil,Romance,9.7
Minsara Kanna,Tamil,"Drama, Romance",9.7
Natpe Thunai,Tamil,"Comedy, Drama, Sport",9.5
Padai Veeran,Tamil,Drama,9.4
Love Today,Tamil,"Drama, Romance",9.3
The Farm: En Veettu Thottathil,Tamil,Thriller,9.3
Nenjamundu Nermaiyundu Odu Raja,Tamil,"Comedy, Drama",9.2
Irandam Ulagaporin Kadaisi Gundu,Tamil,Drama,9.2
Maha Maha,Tamil,"Crime, Drama, Romance",9.1
Vetrivel,Tamil,Drama,9
Mei,Tamil,Action,9
GodsView,Tamil,"Adventure, Family, Mystery",9
Nenjinile,Tamil,"Action, Crime, Drama",9
Kannethirey Thondrinal,Tamil,Romance,8.9
Kanni Maadam,Tamil,"Drama, Romance",8.8
Peranbu,Tamil,Drama,8.6
Madha Yaanai Koottam,Tamil,"Drama, Thriller",8.5
Kanaa,Tamil,"Drama, Sport",8.5
Vizhithiru,Tamil,Drama,8.5
Thevar Magan,Tamil,Drama,8.5
Aan Devathai,Tamil,"Action, Drama",8.5
96,Tamil,"Drama, Romance",8.4
Thirumalai,Tamil,"Action, Romance",8.4
Mahanadhi,Tamil,"Crime, Drama",8.4
Oththa Seruppu Size 7,Tamil,Drama,8.4
Pandigai,Tamil,"Action, Thriller",8.3
Thirumanam,Tamil,Drama,8.3
Sagaa,Tamil,"Action, Crime, Drama",8.3
KD,Tamil,Drama,8.3
House Owner,Tamil,Drama,8.3
Joker,Tamil,"Comedy, Drama",8.3
Unnaipol Oruvan,Tamil,"Crime, Drama, Mystery",8.3
Ratsasan,Tamil,"Action, Crime, Thriller",8.3
Mouna Ragam,Tamil,"Drama, Romance",8.3
Pannaiyarum Padminiyum,Tamil,"Comedy, Drama",8.2
Anjali,Tamil,"Family, Drama",8.2
Vikram Vedha,Tamil,"Action, Crime, Thriller",8.2
Kaakkaa Muttai,Tamil,"Comedy, Drama",8.2
Thillu Mullu,Tamil,Comedy,8.2
Alai Payuthey,Tamil,"Drama, Musical, Romance",8.2
Deiva Thirumagal,Tamil,"Drama, Family, Musical",8.1
Papanasam,Tamil,"Drama, Thriller",8.1
Iruvar,Tamil,"Biography, Drama",8.1
Michael Madana Kama Rajan,Tamil,"Comedy, Musical",8.1
Moondram Pirai,Tamil,"Drama, Romance",8.1
Bakrid,Tamil,Drama,8.1
Roja,Tamil,"Drama, Romance, Thriller",8.1
Aramm,Tamil,Drama,8.1
Sindhubaadh,Tamil,"Action, Thriller",8.1
To Let,Tamil,Family,8
Kidaari,Tamil,Action,8
Pugazh,Tamil,Action,8
Lockup,Tamil,Drama,8
Kootathil Oruthan,Tamil,Comedy,8
60 Vayadu Maaniram,Tamil,Drama,8
Kaaviyyan,Tamil,Thriller,8
Annanukku Jey,Tamil,Comedy,8
Oh My Kadavule,Tamil,Comedy,8
Super Deluxe,Tamil,"Action, Comedy, Crime",8
Vada Chennai,Tamil,"Action, Crime",8
Nedunalvaadai,Tamil,Drama,8
Dhuruvangal Pathinaaru,Tamil,"Action, Crime, Mystery",7.9
Vazhakku Enn 18/9,Tamil,"Crime, Drama, Thriller",7.9
Thani Oruvan,Tamil,"Action, Crime, Thriller",7.9
Pithamagan,Tamil,"Action, Drama",7.9
Engeyum Eppodhum,Tamil,"Comedy, Drama, Family",7.9
Aruvi,Tamil,Drama,7.9
Enakkul Oruvan,Tamil,Thriller,7.9
Bombay,Tamil,"Drama, Musical, Romance",7.9
Jigarthanda,Tamil,"Action, Crime, Drama",7.8
Naduvula Konjam Pakkatha Kaanom,Tamil,"Comedy, Drama",7.8
Mozhi,Tamil,"Comedy, Musical, Romance",7.8
Kumki,Tamil,Drama,7.8
Aandavan Kattalai,Tamil,Drama,7.8
Theeran Adhigaaram Ondru,Tamil,"Action, Crime, Thriller",7.8
Dishyum,Tamil,"Action, Drama, Romance",7.8
Sillu Karuppatti,Tamil,"Drama, Romance",7.8
Aaranya Kaandam,Tamil,"Action, Crime, Thriller",7.8
Panchatanthiram,Tamil,"Comedy, Drama",7.8
Magamuni,Tamil,"Crime, Drama, Thriller",7.8
Sathi Leelavathi,Tamil,"Comedy, Drama",7.8
Ninaithen Vandhai,Tamil,"Drama, Romance",7.8
Suryavamsam,Tamil,"Comedy, Drama, Family",7.8
Suttu Pidikka Utharavu,Tamil,"Action, Drama",7.8
Vasoolraja M.B.B.S,Tamil,"Comedy, Drama",7.8
Anniyan,Tamil,"Action, Drama, Thriller",7.8
Sarvam Thaala Mayam,Tamil,"Drama, Music",7.8
Geethaiyin Raadhai,Tamil,Comedy,7.8
Thadam,Tamil,"Action, Crime, Thriller",7.7
Oru Kidayin Karunai Manu,Tamil,Drama,7.7
Shahjahan,Tamil,"Drama, Romance",7.7
Vaseegara,Tamil,"Comedy, Drama, Romance",7.7
Irumbu Thirai,Tamil,"Action, Thriller",7.7
Amma Kanakku,Tamil,Drama,7.7
