imdb_title_id,title,total_votes,weighted_average_vote
tt12747588,Meka Suri,1126,9.7
tt0989831,Jibon Theke Neya,1794,9.4
tt6735740,Love in Kilnerry,1239,9.3
tt10218912,As I Am,1173,9.3
tt8569206,Little Baby,2095,9.2
tt0249795,Maya Bazaar,3813,9.2
tt5980638,The Transcendents,1450,9.2
tt0383177,Aguner Poroshmoni,2618,9.1
tt0170783,Vchera,3095,9.1
tt6463320,Zana,4114,9.1
tt0283524,Opasen char,1597,9
tt5510934,Oggatonama,3642,9
tt7391996,C/o Kancharapalem,3937,9
tt0259534,Ramayana: The Legend of Prince Rama,1919,9
tt6058226,Ekvtime: Man of God,2644,9
tt0353975,Sandesham,3346,9
tt0087349,Le montagne blu,1622,8.9
tt0080856,Heerak Rajar Deshe,2192,8.9
tt0095657,I moromete,3609,8.9
tt0249336,Aha Naa Pellanta,2487,8.9
tt1935109,Dipu Number 2,1933,8.9
tt0270321,Dr. Babasaheb Ambedkar,1123,8.8
tt0086231,Sagara Sangamam,2681,8.8
tt0197042,Tis kakomoiras,2086,8.8
tt9537346,Ardaas Karaan,1360,8.8
tt0282778,Nadodikkattu,3921,8.8
tt2330098,Upendra,2363,8.8
tt3189256,Om,2545,8.8
tt5190958,Katyar Kaljat Ghusali,1801,8.8
tt0205306,Orkestar bez ime,1999,8.8
tt0262455,Gundamma Katha,1280,8.8
tt7743400,Jhalki,1131,8.8
tt10765852,Metallica and San Francisco Symphony S&M2,1046,8.8
tt3178292,A: Film by Upendra,1675,8.7
tt0079889,Sankarabharanam,1867,8.7
tt0230597,Oru Vadakkan Veeragatha,4112,8.7
tt0125968,Operatiunea 'Monstrul',1248,8.7
tt0123390,B.D. Ì¨n alertÌ£,1670,8.7
tt0291855,Devasuram,4503,8.7
tt0075467,Az Ì¦tÌ¦dik pecsÌ©t,3671,8.7
tt0469785,Limuzins Janu nakts krasa,1097,8.7
tt9231140,A Man Called Ahok,4235,8.7
tt4909506,Godhi Banna Sadharana Mykattu,2448,8.7
tt0311594,Nuvvu Naaku Nachchav,3560,8.7
tt1795369,National Theatre Live: Frankenstein,3062,8.7
tt0237820,Thaniyavartanam,1655,8.7
tt0169828,Il padre del soldato,3811,8.6
tt0155265,Thillu Mullu,2768,8.6
tt0187318,Moondram Pirai,2257,8.6
tt0215911,Koshish,1434,8.6
tt10370116,Oththa Seruppu Size 7,1902,8.6
tt0123392,B.D. la munte si la mare,1691,8.6
tt0298350,Gospodin za edin den,1132,8.6
tt0249188,Thoovanathumbikal,3367,8.6
tt0278501,In Harihar Nagar,3026,8.6
tt0108429,Udzinarta mze,1379,8.6
tt6084202,Dveselu putenis,1220,8.6
tt8747560,KD,1015,8.6
tt0251355,Pushpaka Vimana,3158,8.6
tt0319836,Matir moina,3724,8.6
tt0292246,Spadikam,4429,8.6
tt0214585,Chithram,4261,8.6
tt0123391,Brigada Diverse intrÌ£ Ì¨n actiune,1596,8.6
tt0353496,Godfather,2839,8.6
tt1496729,Aaranya Kaandam,3443,8.6
tt8602654,"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai",1127,8.6
tt0122565,Istoria mias kalpikis liras,2422,8.6
tt8241876,5th Borough,1178,8.6
tt0255306,Kilukkam,3161,8.6
tt0088338,Varljivo leto '68,4714,8.6
tt6346162,Disney's Newsies: The Broadway Musical,1953,8.5
tt2044774,El-Keif,1637,8.5
tt3590482,Bey Yaar,1799,8.5
tt0079606,Nacionalna klasa,3116,8.5
tt4476736,Amleto,1903,8.5
tt0353935,Ramji Rav Speaking,2672,8.5
tt4519488,Mudras Calling,1217,8.5
tt1601792,Aa Naluguru,2541,8.5
tt0106534,Cel mai iubit dintre pamÌ¢nteni,1584,8.5
tt0091559,Mouna Ragam,3164,8.5
tt3313066,National Theatre Live: Coriolanus,1731,8.5
tt5593384,TÌµde ja Ìµigus,2644,8.5
tt4846952,Angrej,2838,8.5
tt0140377,Michael Madana Kama Rajan,3575,8.5
tt3607198,Punjab 1984,1830,8.5
tt0155124,Rudra Veena,1699,8.5
tt7794052,Merku Thodarchi Malai,1538,8.5
tt0140348,Mahanadhi,3021,8.5
tt0119385,Iruvar,4557,8.5
tt0480732,Shyamol Chhaya,1775,8.5
tt0192377,Noz,2871,8.5
tt11833648,Shams al-Maaref,1075,8.5
tt4658770,Belaseshe,2149,8.5
tt5691226,Pashupati Prasad,1291,8.5
tt6725014,Scene da un matrimonio,3744,8.5
tt4943992,Manto,1114,8.5
tt0375093,Srabon Megher Din,2080,8.5
tt0285665,Kuruthipunal,3558,8.5
tt0102369,Madar,3987,8.5
tt0459516,Pudhu Pettai,4161,8.5
