title,language,genre,director,us_voters_rating,non_us_voters_rating,ABS(rating.non_us_voters_rating-rating.us_voters_rating)
The Best Years,English,"Comedy, Crime, Drama",Danny Patrick,1,9.6,8.600000381469727
Paul Simon the Concert in Hyde Park,English,Music,,1.1,9.2,8.099999785423279
Hersenschimmen,"Dutch, English",Drama,Heddy Honigmann,0,6.9,6.900000095367432
Switch: A Tale of Humility & Despair,English,"Comedy, Crime, Drama",Jordon Thomas Sendall,0,6.9,6.900000095367432
Turnt,English,Drama,Mann Robinson,3.1,9.1,6.000000476837158
Requiem for a Fighter,English,Drama,Danny Patrick,3.6,9.3,5.700000286102295
Stanley Stanton,English,Drama,Mars McCracken,3.2,8.9,5.699999570846558
All You Can Dream,English,"Comedy, Drama, Family",Valerio Zanoli,3.3,8.9,5.599999666213989
Double Dutchess: Seeing Double,English,"Animation, Drama, Fantasy","Bruno Ilogti, Alek Keshishian",1.4,6.8,5.400000214576721
The Honourable Wally Norman,English,Comedy,Ted Emery,0,5.4,5.400000095367432
Kissy Kissy,English,Drama,"Alexander Greenhough, Elric Kane",1,6.1,5.099999904632568
Then Again,English,Drama,Ayan Pratap,2.9,8,5.099999904632568
Moussaka & Chips,English,Adventure,Danny Patrick,4.6,9.5,4.900000095367432
BROS. Last Call,English,Comedy,Don Tjernagel,3.7,8.5,4.799999952316284
Set Me Free: Vol. II,English,"Crime, Drama, Mystery",Kris Smith,4.9,9.7,4.799999713897705
Evening Installation,English,Thriller,Tatiana Sokolova,2.8,7.5,4.700000047683716
Radio Mosha,English,Comedy,Nik Triantafyllidis,1,5.7,4.699999809265137
Scumbus,English,Comedy,Luke Tierney,1,5.6,4.599999904632568
Z-Listers,English,"Comedy, Drama",Kris Smith,4.9,9.2,4.299999713897705
Trevor Noah: The Nationwild Comedy Tour,English,Comedy,David Paul Meyer,2.2,6.3,4.100000143051148
Nocturnal,English,Drama,Nathalie Biancheri,2.5,6.6,4.099999904632568
More Strange Than True,English,"Comedy, Fantasy",Benjamin Rider,1,5.1,4.099999904632568
Un nemico che ti vuole bene,"Italian, English","Comedy, Crime",Denis Rabaglia,1.7,5.7,3.999999761581421
My Uncle John Is a Zombie!,English,"Comedy, Horror","Robert Lucas, John A. Russo",5.6,9.5,3.900000095367432
Aiyai: Wrathful Soul,English,"Horror, Mystery, Thriller",Ilanthirayan Alan Arumugam,5.3,9.1,3.8000001907348633
Dead Men,English,Thriller,Scott B. Hansen,3.3,7.1,3.799999952316284
Love Struck Sick,English,Romance,Don Tjernagel,3.8,7.6,3.799999952316284
Visceral Matter,English,Sci-Fi,Richard Kelly,3.2,6.9,3.700000047683716
Wanted,English,"Action, Comedy",Howard Hung-Soon Chung,0,3.7,3.700000047683716
Almost Amazing,English,"Comedy, Romance",Justin Price,3.8,7.5,3.700000047683716
Scent,English,"Comedy, Horror",The Existentialist,3.5,7.2,3.6999998092651367
Social Misfits,English,Drama,Rene Villar Rios,4.2,7.8,3.6000003814697266
AÌ¤ela,English,"Animation, Adventure, Comedy",ÌÐzgÌ?r DogruÌ¦z,2.3,5.8,3.500000238418579
Cry Funny Happy,English,Drama,Sam Neave,3.9,7.4,3.5
The March,English,Drama,David Wheatley,3,6.5,3.5
Geraldine's Fortune,English,"Comedy, Drama",John N. Smith,1.6,5.1,3.4999998807907104
The Wild Guys,English,"Adventure, Comedy",William Gereghty,1.7,5.2,3.499999761581421
"Tbilisi, I Love You","Georgian, English","Drama, Romance","Nika Agiashvili, Irakli Chkhikvadze",3.4,6.8,3.400000095367432
Beneath a Neon Tide,English,"Drama, Romance",Simon Edwards,1,4.3,3.3000001907348637
Ammore e malavita,"Italian, Neapolitan, English","Comedy, Crime, Musical","Antonio Manetti, Marco Manetti",3.1,6.3,3.200000286102295
We Take the Low Road,English,"Drama, Thriller","Domenic Barbero, Jerry Spears",5,8.2,3.1999998092651367
The Mirror Boy,English,"Adventure, Drama, Fantasy",Obi Emelonye,2.2,5.3,3.1000001430511475
Teen Star Academy,English,"Comedy, Family",Cristian Scardigno,2.8,5.9,3.1000001430511475
House of America,English,Drama,Marc Evans,3.3,6.4,3.1000001430511475
Genesis,"Maltese, English","Comedy, Drama",Kenneth Scicluna,2.4,5.5,3.0999999046325684
The Mini,English,Comedy,Ron Beck,5.1,8.2,3.0999999046325684
A Stormy Night,English,Drama,David Moragas,2.5,5.6,3.0999999046325684
Kormoranid ehk NahkpÌ?kse ei pesta,"Estonian, English","Comedy, Music","Andres Maimik, Rain Tolk",2.3,5.3,3.000000238418579
Le Fear,English,"Comedy, Horror",Jason Croot,3.8,6.8,3.000000238418579
Selon Matthieu,"French, English",Drama,Xavier Beauvois,3.5,6.5,3
I'm Still Here,English,"Drama, Romance, Thriller",Kris Smith,5.3,8.3,3
The Favourite Game,English,Drama,Bernar HÌ©bert,3.1,6.1,3
The Elf,English,Horror,Justin Price,2.4,5.4,3
Beyond America,"Romanian, English","Drama, History, Romance",Marius Barna,1,3.9,2.900000095367432
The Tragedy,English,"Drama, Horror",Ersen Denk,0,2.9,2.900000095367432
Wild on the Beach,English,Comedy,Maury Dexter,3.6,6.5,2.900000095367432
White Wall,English,"Action, Mystery, Sci-Fi",James Boss,3.1,6,2.900000095367432
D'Agostino,English,"Drama, Sci-Fi",Jorge Ameer,4.4,7.3,2.900000095367432
Queenie in Love,English,"Comedy, Romance",Amos Kollek,4,6.8,2.8000001907348637
Funny People 2,English,Comedy,Jamie Uys,3.1,5.9,2.8000001907348637
Terrorists,English,Comedy,Jay Martel,5.8,8.6,2.8000001907348637
Survival,English,Horror,Joe Francis,3.1,5.9,2.8000001907348637
Blue Moon,"German, Slovak, Ukrainian, English","Adventure, Comedy, Romance",Andrea Maria Dusl,3.8,6.6,2.799999952316284
Turnabout,English,"Drama, Mystery, Thriller",E.B. Hughes,3.9,6.7,2.799999713897705
Lake on Fire,English,"Horror, Thriller",Jake Myers,3.7,6.4,2.700000047683716
Light from the Tower,English,"Comedy, Drama, Mystery",Alex R. Wagner,3.3,6,2.700000047683716
