title,language,genre,director,us_voters_rating,non_us_voters_rating,ABS(rating.non_us_voters_rating-rating.us_voters_rating)
The Pigeon Egg Strategy,English,Comedy,Max Makowski,10,1,9
Poeta,English,"Comedy, Drama, Romance",Jeral Clyde II,9,0,9
The Silent e,English,"Animation, Adventure, Family",Christopher DeMaci,9.8,1.2,8.600000143051147
Shelter in the Storm,English,"Drama, Family",David Klass,9.4,1,8.399999618530273
The WormKillers' Last Spring,English,"Drama, Sport",Tom Dempsey,9.8,1.5,8.300000190734863
Paging Emma,English,Drama,Roberto BusÌ?-GarcÌ?a,9.2,1.1,8.099999785423279
Magass,English,Comedy,Daryush Shokof,10,2,8
?,English,"Adventure, Comedy, Drama","Alex Harz, Tom Kennedy",9,1,8
Greater Tuna,English,Comedy,"Jim Borden, Ed Howard",8.7,1,7.699999809265137
The Belly of the Beast,English,Horror,Corbin Timbrook,9.8,2.2,7.6000001430511475
Smooth Operator,English,Comedy,Tom Logan,9.2,1.6,7.599999785423279
Humdinger,English,"Comedy, Drama",William Heins,9,1.5,7.5
Tomorrow's End,English,"Comedy, Drama","Hunter G. Williams, Scott Michael Campbell",9,1.6,7.399999976158142
Shut Up and Deal,English,Comedy,James Henderson,10,2.7,7.299999952316284
Sandcastles,English,Drama,Filip Jan Rymsza,9.1,1.9,7.2000004053115845
Locomotive,English,"Action, Drama, Romance",Riccardo DiLoreto,8.3,1.2,7.100000143051148
Tarantulas and Other Conveniences,English,Drama,Lauren B. Hellerstein,8.8,1.8,7.000000238418579
The Neighborhood,English,Action,John Azpilicueta,8,1,7
The Schedule,English,Fantasy,"Burnie Burns, Matt Hullum",9.6,2.7,6.900000333786011
The Perfect Love Song,English,"Comedy, Musical, Romance",Samuel Victor,8.8,1.9,6.900000214576721
Malicious Intent,English,"Crime, Drama, Thriller",Danny Patrick,10,3.1,6.900000095367432
666: The Beginning of the End,English,Horror,Joaquin Rodriguez,8.9,2.1,6.799999713897705
Menace,English,Thriller,Amir Mann,8.1,1.4,6.7000004053115845
The Crumbles,English,"Comedy, Drama, Music",Akira Boch,8.7,2,6.699999809265137
Don: Plain & Tall,English,Comedy,Scott Peters,8.3,1.7,6.600000143051148
The Red Rooster,English,Drama,Terry Miles,9,2.4,6.599999904632568
Lightmaker,English,Fantasy,Dieter Meier,10,3.4,6.599999904632568
Drawn by Pain,English,Action,Jesse Cowell,7.7,1.2,6.499999761581421
Una Ragione per Combattere: A Reason To Fight,"Italian, English","Action, Drama, Romance",Alessandro Baccini,10,3.6,6.400000095367432
In the Gray,English,"Crime, Drama",Rob Holloway,8.3,2,6.300000190734863
The Strip,English,Comedy,Jameel Khan,8.5,2.2,6.299999952316284
Let's Rob the Cheese Shop,English,"Comedy, Romance",Sean Gerowin,7.6,1.3,6.299999952316284
Normandy Is My Name,English,"Comedy, Family, Romance",Jim Russell,9.3,3.1,6.200000286102295
Passing Stones,English,Comedy,Roger Majkowski,7.8,1.6,6.200000166893005
Red Sheep,English,"Drama, Fantasy, Thriller",Amos McKay,8.4,2.2,6.199999570846558
Conquering the Rose,English,Drama,J. Michael Whalen,7.5,1.4,6.100000023841858
Black Velvet,English,Adventure,Tim Pape,7.3,1.3,6.000000238418579
Real Gangsters,English,"Crime, Drama, Mystery",Frank D'Angelo,8.8,2.8,6.000000238418579
A More Perfect Union: America Becomes a Nation,English,"Drama, History",Peter N. Johnson,7.4,1.4,6.0000001192092896
Hollywood Mouth 2,English,Drama,Jordan Mohr,10,4,6
Feedback,English,"Comedy, Drama, Thriller",Derek Owen,10,4,6
The Road to Empire,English,Thriller,Michael Sibay,7.2,1.2,5.999999761581421
The Neighborhood,English,Drama,Frank D'Angelo,8.2,2.2,5.999999761581421
Cowboy & Indiana,English,Drama,Rodney Ray,8.4,2.4,5.999999523162842
Mr. Dungbeetle,English,Comedy,Thomas Russell,7.3,1.4,5.900000214576721
Emeryville,English,"Drama, Horror, Mystery",Pritesh Chheda,8.3,2.4,5.900000095367432
Man with a Plan,English,Comedy,John O'Brien,8.3,2.4,5.900000095367432
Cruzando,English,"Adventure, Comedy, Drama","Mando Alvarado, Michael Ray Escamilla",7,1.1,5.899999976158142
La storia di Erika e Klaus Mann,English,"Biography, Drama","Wieland Speck, Andrea Weiss",9.3,3.5,5.800000190734863
Your Friends Close,English,"Comedy, Drama, Mystery",Jocelyn Kelvin,7.3,1.6,5.700000166893005
"Henry Aldrich, Boy Scout",English,Comedy,Hugh Bennett,7,1.3,5.700000047683716
We Are the Mods,English,Drama,E.E. Cassidy,8.6,3,5.600000381469727
Dissensions,English,Drama,Carlos Etzio Roman,8.3,2.7,5.600000143051148
Sweetzer,English,Comedy,Wayne Reynolds,8.8,3.2,5.600000143051148
Marin Blue,English,"Drama, Music, Romance",Matthew Hysell,8.5,2.9,5.599999904632568
Pokhorony Stalina,"Russian, English","Drama, Romance",Evgeniy Evtushenko,9.7,4.1,5.599999904632568
Heaven's Rain,English,Drama,Paul Brown,7.1,1.5,5.599999904632568
Bastards of Young,English,"Comedy, Drama",Josiah Signor,7.4,1.9,5.5000001192092896
Lock-Load-Love,English,"Comedy, Romance",David LaRosa,6.5,1,5.5
Kako los son,"Macedonian, English",Drama,Antonio Mitrikeski,10,4.5,5.5
Waiting for Michelangelo,English,"Drama, Romance",Curt Truninger,9.5,4,5.5
Paradise Recovered,English,Drama,Storme Wood,7.5,2.1,5.400000095367432
The Masked Marvel,English,"Action, Adventure, Drama",Spencer Gordon Bennet,8.4,3,5.399999618530273
Trashology,English,Comedy,Brian Dorton,7.9,2.6,5.300000190734863
Spicy Mac Project,English,Comedy,Spicy Mac,7.1,1.8,5.299999952316284
Orpheus & Eurydice,English,"Action, Adventure, Drama",Paul Pissanos,7.6,2.3,5.299999952316284
Like Al,English,"Action, Crime, Drama",Bishop Moore,7.2,1.9,5.299999833106995
"Happy Birthday, Harris Malden",English,Comedy,"Juan Cardarelli, Benjamin Davidow",6.7,1.4,5.299999833106995
Nicky Newark,English,Drama,David LaRosa,6.5,1.3,5.200000047683716
Come Together,English,"Comedy, Drama, Romance",Jeff Macpherson,9.7,4.5,5.199999809265137
"The Boy, the Dog and the Clown",English,Family,Nick Lyon,8.4,3.2,5.199999570846558
Shades of Gray,English,Comedy,Jesse Cowell,8.6,3.5,5.100000381469727
Miles from Home,English,Drama,Ty Hodges,6.4,1.3,5.100000143051148
In Montauk,English,"Drama, Romance",Kim Cummings,8.1,3.1,5.000000476837158
Shouting Secrets,English,Drama,Korinna Sehringer,8.3,3.3,5.000000238418579
This End Up,English,"Comedy, Drama","David LaRosa, Brian Robbinson",6,1,5
Henry Aldrich Gets Glamour,English,"Adventure, Comedy, Family",Hugh Bennett,7.4,2.4,5
Condition,English,"Drama, Mystery, Sci-Fi",Andrei Severny,8.7,3.7,4.999999761581421
