title,language,genre,director,avg_vote,top1000_voters_rating,ABS(rating.top1000_voters_rating-movies.avg_vote)
Death files,"Russian, English","Fantasy, Horror, Thriller","Sergey A., Mikhail Ryabkov",8.4,1,7.399999618530273
The City Will Be Overthrown,English,Drama,Zheng Zhou,8.3,1,7.300000190734863
Chaos,"English, Russian","Drama, Fantasy",Sergey A.,8.3,1,7.300000190734863
Who Is He That Has Returned,English,Drama,,8.3,1,7.300000190734863
Concrete shark,"Russian, Czech, English","Action, Comedy, Horror","Sergey A., Mikhail Ryabkov",8.1,1,7.100000381469727
M.L.E.,English,Comedy,Sarah Warren,8,1,7
Doraleous and Associates,English,Animation,Brent Triplett,8.6,1.8,6.800000429153442
The Mystery of Godliness: The Sequel,English,Drama,Chu Wen,7.8,1,6.800000190734863
Talita,English,Drama,Elena Beuca,7.7,1,6.699999809265137
Quezon's Game,English,"Drama, History",Matthew E. Rosen,7.5,1,6.5
Playing the Moldovans at Tennis,"English, Romanian","Comedy, Drama","Tony Hawks, Mikolaj Jaroszewicz",7.5,1,6.5
The WormKillers' Last Spring,English,"Drama, Sport",Tom Dempsey,7.5,1,6.5
Bhat Dey,"English, Bengali",Drama,Amjad Hossain,8.3,1.9,6.400000214576721
Murders in the forest of the dead sharks,"Russian, English","Action, Adventure, Comedy",Sergey A.,7.4,1,6.400000095367432
American Sharia,English,"Comedy, Drama",Omar Regan,3.6,10,6.400000095367432
Thanks Maa,"Hindi, Marathi, English","Crime, Drama",Irfan Kamal,7.9,1.5,6.400000095367432
The Silent e,English,"Animation, Adventure, Family",Christopher DeMaci,7.3,1,6.300000190734863
Blue Hollywood,English,"Comedy, Drama, Romance",Francesco Gabriele,7.3,1,6.300000190734863
Strategy and Pursuit,English,"Drama, Romance, Thriller",Matt Riddlehoover,7.2,1,6.199999809265137
Die Wonderwerker,"Afrikaans, English",Drama,Katinka Heyns,7.2,1,6.199999809265137
Cosmic Psychos: Blokes You Can Trust,English,Music,Matt Weston,7.2,1,6.199999809265137
Life Before Wedding,"English, Telugu","Comedy, Drama, Romance",Praveen Sattaru,7.1,1,6.099999904632568
Dreamer,English,Fantasy,,7.1,1,6.099999904632568
In the Drink,English,"Comedy, Drama, Fantasy",Richard Sears,7.3,1.3,6.000000238418579
