imdb_title_id,title,language,genre,director,total_votes
tt0111161,Le ali della libertÌÊ,English,Drama,Frank Darabont,2278845
tt0468569,Il cavaliere oscuro,"English, Mandarin","Action, Crime, Drama",Christopher Nolan,2241615
tt1375666,Inception,"English, Japanese, French","Action, Adventure, Sci-Fi",Christopher Nolan,2002816
tt0137523,Fight Club,English,Drama,David Fincher,1807440
tt0110912,Pulp Fiction,"English, Spanish, French","Crime, Drama",Quentin Tarantino,1780147
tt0109830,Forrest Gump,English,"Drama, Romance",Robert Zemeckis,1755490
tt0133093,Matrix,English,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski",1632315
tt0120737,Il Signore degli Anelli - La compagnia dell'Anello,"English, Sindarin","Action, Adventure, Drama",Peter Jackson,1619920
tt0167260,Il Signore degli Anelli - Il ritorno del re,"English, Quenya, Old English, Sindarin","Action, Adventure, Drama",Peter Jackson,1604280
tt0068646,Il padrino,"English, Italian, Latin","Crime, Drama",Francis Ford Coppola,1572674
tt1345836,Il cavaliere oscuro - Il ritorno,"English, Arabic","Action, Adventure",Christopher Nolan,1480582
tt0167261,Il Signore degli Anelli - Le due torri,"English, Sindarin, Old English","Action, Adventure, Drama",Peter Jackson,1449778
tt0816692,Interstellar,English,"Adventure, Drama, Sci-Fi",Christopher Nolan,1449256
tt0114369,Seven,English,"Crime, Drama, Mystery",David Fincher,1402015
tt1853728,Django Unchained,"English, German, French, Italian","Drama, Western",Quentin Tarantino,1317856
tt0172495,Il gladiatore,English,"Action, Adventure, Drama",Ridley Scott,1308193
tt0372784,Batman Begins,"English, Mandarin","Action, Adventure",Christopher Nolan,1278075
tt0848228,The Avengers,"English, Russian, Hindi","Action, Adventure, Sci-Fi",Joss Whedon,1241220
tt0102926,Il silenzio degli innocenti,"English, Latin","Crime, Drama, Thriller",Jonathan Demme,1234134
tt0361748,Bastardi senza gloria,"English, German, French, Italian","Adventure, Drama, War",Quentin Tarantino,1229958
tt0076759,Guerre stellari,English,"Action, Adventure, Fantasy",George Lucas,1204107
tt0120815,Salvate il soldato Ryan,"English, French, German, Czech","Drama, War",Steven Spielberg,1203825
tt0108052,Schindler's List,"English, Hebrew, German, Polish, Latin","Biography, Drama, History",Steven Spielberg,1183248
tt0407887,The Departed - Il bene e il male,"English, Cantonese","Crime, Drama, Thriller",Martin Scorsese,1159703
tt0482571,The Prestige,English,"Drama, Mystery, Sci-Fi",Christopher Nolan,1155723
tt0993846,The Wolf of Wall Street,"English, French","Biography, Crime, Drama",Martin Scorsese,1141549
tt0080684,L'Impero colpisce ancora,English,"Action, Adventure, Fantasy",Irvin Kershner,1132073
tt0120689,Il miglio verde,"English, French","Crime, Drama, Fantasy",Frank Darabont,1112336
tt0499549,Avatar,"English, Spanish","Action, Adventure, Fantasy",James Cameron,1101160
tt0209144,Memento,English,"Mystery, Thriller",Christopher Nolan,1098879
tt0071562,Il padrino - Parte II,"English, Italian, Spanish, Latin, Sicilian","Crime, Drama",Francis Ford Coppola,1098714
tt1130884,Shutter Island,"English, German","Mystery, Thriller",Martin Scorsese,1096024
tt0169547,American Beauty,English,Drama,Sam Mendes,1049009
tt0088763,Ritorno al futuro,English,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,1027330
tt2015381,Guardiani della Galassia,English,"Action, Adventure, Comedy",James Gunn,1023350
tt0120338,Titanic,"English, Swedish, Italian, French","Drama, Romance",James Cameron,1023181
tt0120586,American History X,English,Drama,Tony Kaye,1014218
tt0434409,V per Vendetta,English,"Action, Drama, Sci-Fi",James McTeigue,1009729
tt0110413,LÌ©on,"English, Italian, French","Action, Crime, Drama",Luc Besson,1007598
tt0325980,La maledizione della prima luna,English,"Action, Adventure, Fantasy",Gore Verbinski,1001260
tt0099685,Quei bravi ragazzi,"English, Italian","Biography, Crime, Drama",Martin Scorsese,991505
tt0266697,Kill Bill - Volume 1,"English, Japanese, French","Action, Crime, Thriller",Quentin Tarantino,977296
tt0103064,Terminator 2 - Il giorno del giudizio,"English, Spanish","Action, Sci-Fi",James Cameron,974970
tt0910970,WALLåáE,English,"Animation, Adventure, Family",Andrew Stanton,974734
tt0114814,I soliti sospetti,"English, Hungarian, Spanish, French","Crime, Mystery, Thriller",Bryan Singer,968947
tt0112573,Braveheart - Cuore impavido,"English, French, Latin, Scottish Gaelic, Italian","Biography, Drama, History",Mel Gibson,941683
tt0086190,Il ritorno dello Jedi,English,"Action, Adventure, Fantasy",Richard Marquand,928036
tt0266543,Alla ricerca di Nemo,English,"Animation, Adventure, Comedy","Andrew Stanton, Lee Unkrich",927957
tt0371746,Iron Man,"English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","Action, Adventure, Sci-Fi",Jon Favreau,920706
