imdb_title_id,title,imdb_name_id,name,category,characters
tt1375666,Inception,nm0000138,Leonardo DiCaprio,actor,"[""Cobb""]"
tt1375666,Inception,nm0001877,Hans Zimmer,composer,
tt1375666,Inception,nm0002892,Wally Pfister,cinematographer,
tt1375666,Inception,nm0245596,Guy Hendrix Dyas,production_designer,
tt1375666,Inception,nm0330687,Joseph Gordon-Levitt,actor,"[""Arthur""]"
tt1375666,Inception,nm0634240,Christopher Nolan,director,
tt1375666,Inception,nm0680983,Ellen Page,actress,"[""Ariadne""]"
tt1375666,Inception,nm0809059,Lee Smith,editor,
tt1375666,Inception,nm0858799,Emma Thomas,producer,
tt1375666,Inception,nm0913822,Ken Watanabe,actor,"[""Saito""]"
