imdb_name_id,name,imdb_title_id,title,avg_vote
nm0000138,Leonardo DiCaprio,tt1375666,Inception,8.8
nm0000138,Leonardo DiCaprio,tt0407887,The Departed - Il bene e il male,8.5
nm0000138,Leonardo DiCaprio,tt1853728,Django Unchained,8.4
nm0000138,Leonardo DiCaprio,tt1130884,Shutter Island,8.2
nm0000138,Leonardo DiCaprio,tt0993846,The Wolf of Wall Street,8.2
nm0000138,Leonardo DiCaprio,tt0264464,Prova a prendermi,8.1
nm0000138,Leonardo DiCaprio,tt1663202,Revenant - Redivivo,8
nm0000138,Leonardo DiCaprio,tt0450259,Blood Diamond - Diamanti di sangue,8
nm0000138,Leonardo DiCaprio,tt0108550,Buon compleanno Mr. Grape,7.8
nm0000138,Leonardo DiCaprio,tt0120338,Titanic,7.8
nm0000138,Leonardo DiCaprio,tt7131622,C'era una volta a... Hollywood,7.6
nm0000138,Leonardo DiCaprio,tt0217505,Gangs of New York,7.5
nm0000138,Leonardo DiCaprio,tt0338751,The Aviator,7.5
nm0000138,Leonardo DiCaprio,tt0112461,Ritorno dal nulla,7.3
nm0000138,Leonardo DiCaprio,tt0959337,Revolutionary Road,7.3
nm0000138,Leonardo DiCaprio,tt0108330,Voglia di ricominciare,7.3
nm0000138,Leonardo DiCaprio,tt1343092,Il grande Gatsby,7.2
nm0000138,Leonardo DiCaprio,tt0758774,Nessuna veritÌÊ,7.1
nm0000138,Leonardo DiCaprio,tt1148204,Orphan,6.9
nm0000138,Leonardo DiCaprio,tt1206543,Il fuoco della vendetta - Out of the Furnace,6.8
nm0000138,Leonardo DiCaprio,tt0116999,La stanza di Marvin,6.7
nm0000138,Leonardo DiCaprio,tt0117509,Romeo + Giulietta di William Shakespeare,6.7
nm0000138,Leonardo DiCaprio,tt0163978,The Beach,6.7
nm0000138,Leonardo DiCaprio,tt0114702,Poeti dall'inferno,6.6
nm0000138,Leonardo DiCaprio,tt0120744,La maschera di ferro,6.5
nm0000138,Leonardo DiCaprio,tt1616195,J. Edgar,6.5
nm0000138,Leonardo DiCaprio,tt0114214,Pronti a morire,6.4
nm0000138,Leonardo DiCaprio,tt2361317,La legge della notte,6.4
nm0000138,Leonardo DiCaprio,tt0120533,Celebrity,6.3
nm0000138,Leonardo DiCaprio,tt0403057,Gardener of Eden - Il giustiziere senza legge,6.1
nm0000138,Leonardo DiCaprio,tt0119004,Don's Plum,5.8
nm0000138,Leonardo DiCaprio,tt2069797,Delirium,5.7
nm0000138,Leonardo DiCaprio,tt2364841,Runner Runner,5.6
nm0000138,Leonardo DiCaprio,tt1486185,Cappuccetto rosso sangue,5.5
nm0000138,Leonardo DiCaprio,tt4532826,Robin Hood - L'origine della leggenda,5.3
