imdb_title_id,title,imdb_name_id,name,category,characters
tt0093603,Nayakan,nm0049400,Balakumaran,writer,
tt0093603,Nayakan,nm0304265,Delhi Ganesh,actor,"[""Iyer""]"
tt0093603,Nayakan,nm0352032,Kamal Haasan,actor,"[""Velu Naicker (Sakthivelu)""]"
tt0093603,Nayakan,nm0417301,Janakaraj,actor,"[""Selva""]"
tt0093603,Nayakan,nm0707366,Rajasri,writer,
tt0093603,Nayakan,nm0711745,Mani Ratnam,director,
tt0093603,Nayakan,nm0764853,Saranya Ponvannan,actress,"[""Neela""]"
tt0093603,Nayakan,nm1032861,Muktha V. Srinivasan,producer,
tt0093603,Nayakan,nm1038384,Ravi Kishore,producer,
tt0093603,Nayakan,nm4639369,Muktha V. Ramasami,producer,
